~ network modification file for ChicagoRegional
~ data obtained from http://data.cmap.illinois.gov/tip/SearchAdvanced.aspx
~ changeId	changeType	from 	to	capacity	length	ftime	B	power	speed	toll	type	projectCost
03_02_9005	CHANGE	2112	2113	2900	0.26	0.52	0.15	4	30	0	1	999999.00
07_06_0014	ADD	1985	1986	2520	0.80	1.12	0.15	4	38	0	1	236000.00
07_06_0014	ADD	1986	1985	2520	0.80	1.12	0.15	4	38	0	1	236000.00
07_94_0027	ADD	1958	10321	1080	1	1.5	0.15	4	36	0	1	350000.00
07_94_0027	ADD	10321	1958	1080	1	1.5	0.15	4	36	0	1	350000.00
07_96_0013	ADD	10321	12414	1080	1	1.5	0.15	4	36	0	1	374000.00
07_96_0013	ADD	12414	10321	1080	1	1.5	0.15	4	36	0	1	374000.00
03_95_0001	ADD	12302	11785	1980	1.36	1.808	0.15	4	42	0	1	2000000.00
03_95_0001	ADD	11785	12302	1980	1.36	1.808	0.15	4	42	0	1	2000000.00
03_96_0024	CHANGE	6631	11030	4000	0.59	1.18	0.15	4	29	0	1	999999.99
03_03_0101	CHANGE	5980	11004	1440	1	1.5	0.15	4	36	0	1	232500.00
03_03_0101	CHANGE	11004	5980	1620	1	1.5	0.15	4	36	0	1	232500.00
07_97_0055	CHANGE	5045	10091	9000	1.6	1.284	0.15	4	62	0	2	999999.99
07_97_0055	CHANGE	10088	5044	9000	1.6	1.284	0.15	4	62	0	2	999999.99
07_97_0055	CHANGE	10092	10088	9000	1.47	1.18	0.15	4	62	0	2	999999.99
07_97_0055	CHANGE	10091	10095	9000	1.47	1.18	0.15	4	62	0	2	999999.99
