~ trip O-D demand data modifications file for Chicago Region
~ 10% increase in all trips to and from CBD and
~ 15% increase in all trips to and from O'Hare Airport
~  $Id: ChicagoRegional_tripmods.txt 491 2011-07-19 04:16:28Z astivala $
~ChangeId	Type	Orig	Dest	Multiplier
ohare_all	UNIFORM	584	0	1.15
ohare_all	UNIFORM	583	0	1.15
ohare_all	UNIFORM	0	584	1.15
ohare_all	UNIFORM	0	583	1.15
cbd_all	UNIFORM	55	0	1.10
cbd_all	UNIFORM	0	55	1.10
cbd_all	UNIFORM	56	0	1.10
cbd_all	UNIFORM	0	56	1.10
cbd_all	UNIFORM	57	0	1.10
cbd_all	UNIFORM	0	57	1.10
cbd_all	UNIFORM	58	0	1.10
cbd_all	UNIFORM	0	58	1.10
cbd_all	UNIFORM	59	0	1.10
cbd_all	UNIFORM	0	59	1.10
cbd_all	UNIFORM	60	0	1.10
cbd_all	UNIFORM	0	60	1.10
cbd_all	UNIFORM	62	0	1.10
cbd_all	UNIFORM	0	62	1.10
cbd_all	UNIFORM	63	0	1.10
cbd_all	UNIFORM	0	63	1.10
cbd_all	UNIFORM	64	0	1.10
cbd_all	UNIFORM	0	64	1.10
cbd_all	UNIFORM	65	0	1.10
cbd_all	UNIFORM	0	65	1.10
cbd_all	UNIFORM	66	0	1.10
cbd_all	UNIFORM	0	66	1.10
cbd_all	UNIFORM	67	0	1.10
cbd_all	UNIFORM	0	67	1.10
cbd_all	UNIFORM	68	0	1.10
cbd_all	UNIFORM	0	68	1.10
cbd_all	UNIFORM	69	0	1.10
cbd_all	UNIFORM	0	69	1.10
cbd_all	UNIFORM	70	0	1.10
cbd_all	UNIFORM	0	70	1.10
cbd_all	UNIFORM	71	0	1.10
cbd_all	UNIFORM	0	71	1.10
cbd_all	UNIFORM	72	0	1.10
cbd_all	UNIFORM	0	72	1.10
cbd_all	UNIFORM	73	0	1.10
cbd_all	UNIFORM	0	73	1.10
cbd_all	UNIFORM	74	0	1.10
cbd_all	UNIFORM	0	74	1.10
cbd_all	UNIFORM	75	0	1.10
cbd_all	UNIFORM	0	75	1.10
cbd_all	UNIFORM	76	0	1.10
cbd_all	UNIFORM	0	76	1.10
cbd_all	UNIFORM	77	0	1.10
cbd_all	UNIFORM	0	77	1.10
cbd_all	UNIFORM	78	0	1.10
cbd_all	UNIFORM	0	78	1.10
cbd_all	UNIFORM	79	0	1.10
cbd_all	UNIFORM	0	79	1.10
cbd_all	UNIFORM	80	0	1.10
cbd_all	UNIFORM	0	80	1.10
cbd_all	UNIFORM	81	0	1.10
cbd_all	UNIFORM	0	81	1.10
cbd_all	UNIFORM	82	0	1.10
cbd_all	UNIFORM	0	82	1.10
cbd_all	UNIFORM	83	0	1.10
cbd_all	UNIFORM	0	83	1.10
cbd_all	UNIFORM	84	0	1.10
cbd_all	UNIFORM	0	84	1.10
cbd_all	UNIFORM	85	0	1.10
cbd_all	UNIFORM	0	85	1.10
cbd_all	UNIFORM	86	0	1.10
cbd_all	UNIFORM	0	86	1.10
cbd_all	UNIFORM	87	0	1.10
cbd_all	UNIFORM	0	87	1.10
cbd_all	UNIFORM	88	0	1.10
cbd_all	UNIFORM	0	88	1.10
cbd_all	UNIFORM	89	0	1.10
cbd_all	UNIFORM	0	89	1.10
cbd_all	UNIFORM	90	0	1.10
cbd_all	UNIFORM	0	90	1.10
cbd_all	UNIFORM	91	0	1.10
cbd_all	UNIFORM	0	91	1.10
cbd_all	UNIFORM	92	0	1.10
cbd_all	UNIFORM	0	92	1.10
cbd_all	UNIFORM	93	0	1.10
cbd_all	UNIFORM	0	93	1.10
cbd_all	UNIFORM	94	0	1.10
cbd_all	UNIFORM	0	94	1.10
cbd_all	UNIFORM	95	0	1.10
cbd_all	UNIFORM	0	95	1.10
cbd_all	UNIFORM	96	0	1.10
cbd_all	UNIFORM	0	96	1.10
cbd_all	UNIFORM	97	0	1.10
cbd_all	UNIFORM	0	97	1.10
cbd_all	UNIFORM	98	0	1.10
cbd_all	UNIFORM	0	98	1.10
cbd_all	UNIFORM	99	0	1.10
cbd_all	UNIFORM	0	99	1.10
cbd_all	UNIFORM	100	0	1.10
cbd_all	UNIFORM	0	110	1.10
cbd_all	UNIFORM	110	0	1.10
cbd_all	UNIFORM	0	100	1.10
